id	SC_unfresh_1	SC_fresh_5	SC_unfresh_2	SC_fresh_6	SC_unfresh_3	Myo_unfresh_1	SC_fresh_1	Myo_unfresh_2	SC_fresh_2	Myo_unfresh_3	SC_fresh_3	Myo_unfresh_4	SC_fresh_4
Gsr	11	6	10	8	5	91	9	34	5	39	3	51	3
Gss	12	2	19	3	6	70	19	74	14	85	2	97	2
Gsta1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsta2	0	0	0	0	0	0	0	0	0	0	0	1	0
Gsta3	1	1	0	0	0	0	0	0	0	1	0	2	0
Gsta4	17	10	44	12	5	103	47	145	25	246	4	414	4
Gstcd	0	1	0	1	2	11	1	3	0	2	0	4	0
Gstk1	24	29	38	28	16	37	63	13	23	24	8	28	5
Gstm1	609	537	670	347	323	153	795	286	506	379	253	424	116
Gstm2	34	65	51	41	39	55	93	49	45	81	16	94	11
Gstm3	0	0	0	0	0	0	0	0	0	0	0	0	0
Gstm4	7	6	3	2	1	5	12	11	4	8	1	27	0
Gstm5	76	41	107	39	51	332	173	197	80	316	27	402	19
Gstm6	2	2	0	0	1	0	0	1	0	2	0	1	0
Gstm7	9	11	13	17	3	3	20	6	16	5	5	8	2
Gsto1	10	4	35	4	10	173	18	50	12	114	4	119	8
Gsto2	1	0	0	0	0	3	2	2	0	12	0	9	0
Gstp1	57	65	61	48	62	590	155	569	69	427	26	518	16
Gstp2	19	13	21	12	8	54	46	56	23	59	19	58	2
Gstt1	51	72	61	40	36	1	125	1	62	2	19	2	23
Gstt2	4	5	4	7	3	0	10	1	8	2	1	2	1
Gstt3	8	20	10	14	8	0	26	0	13	2	1	2	3
Gstt4	0	0	0	0	0	0	0	0	0	0	0	0	0
Gstz1	20	13	28	11	17	84	57	43	16	71	7	106	5
Gsx1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsx2	0	0	0	0	0	0	0	0	0	0	0	0	0
Gt(ROSA)26Sor	21	9	11	6	9	113	28	30	16	47	6	65	1
Gtdc1	9	4	1	5	7	11	17	2	10	9	3	21	0
Gtdc2	7	8	15	6	7	18	20	10	10	21	4	16	2
Gtf2a1	137	75	141	57	81	358	176	65	75	295	53	268	7
Gtf2a1l	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2a2	97	70	91	39	44	510	151	267	89	322	25	358	11
Gtf2b	38	24	46	20	16	194	60	65	41	136	17	136	7
Gtf2e1	5	3	7	3	3	56	10	36	6	31	1	57	0
Gtf2e2	67	34	64	30	22	307	149	94	60	216	16	315	3
Gtf2f1	42	32	64	17	40	268	95	148	50	192	16	227	7
Gtf2f2	37	21	38	14	26	215	110	84	35	218	8	202	4
Gtf2h1	17	9	24	9	11	85	30	23	12	72	5	68	2
Gtf2h2	16	13	22	9	9	162	34	27	22	70	5	93	2
Gtf2h3	41	24	56	17	26	139	100	97	27	105	10	116	8
Gtf2h4	29	36	32	23	27	97	105	128	32	115	8	66	6
